"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q27","Q1","Q2","Q29","Q30","Q4","Q4_7_TEXT","Q5","Q6","Q6_5_TEXT","Q3","Q7","Q8","Q11","Q9.1_1","Q9.1_2","Q9.1_3","Q9.1_4","Q9.1_5","Q9.1_6","Q9.1_7","Q9.1_8","Q9.1_9","Q9.1_10","Q9.1_11","Q9.1_12","Q9.2_1","Q9.2_2","Q9.2_3","Q9.2_4","Q9.2_5","Q9.2_6","Q9.2_7","Q9.2_8","Q9.2_9","Q9.2_10","Q9.2_11","Q9.2_12","Q28","Q14","Q13","Q25.1_1_1","Q25.1_1_2","Q25.1_2_1","Q25.1_2_2","Q25.1_3_1","Q25.1_3_2","Q25.1_4_1","Q25.1_4_2","Q25.1_5_1","Q25.1_5_2","Q25.1_6_1","Q25.1_6_2","Q25.1_7_1","Q25.1_7_2","Q25.1_8_1","Q25.1_8_2","Q25.1_9_1","Q25.1_9_2","Q25.1_10_1","Q25.1_10_2","Q25.1_11_1","Q25.1_11_2","Q25.1_12_1","Q25.1_12_2","Q25.1_13_1","Q25.1_13_2","Q25.1_14_1","Q25.1_14_2","Q25.1_15_1","Q25.1_15_2","Q25.1_16_1","Q25.1_16_2","Q25.2_1","Q25.2_2","Q25.2_3","Q25.2_4","Q25.2_5","Q25.2_6","Q25.2_7","Q25.2_8","Q25.2_9","Q25.2_10","Q25.2_11","Q25.2_12","Q25.2_13","Q25.2_14","Q25.2_15","Q25.2_16","Q25.3_1","Q25.3_2","Q25.3_3","Q25.3_4","Q25.3_5","Q25.3_6","Q25.3_7","Q25.3_8","Q25.3_9","Q25.3_10","Q25.3_11","Q25.3_12","Q25.3_13","Q25.3_14","Q25.3_15","Q25.3_16","Q25.4_1","Q25.4_2","Q25.4_3","Q25.4_4","Q25.4_5","Q25.4_6","Q25.4_7","Q25.4_8","Q25.4_9","Q25.4_10","Q25.4_11","Q25.4_12","Q25.4_13","Q25.4_14","Q25.4_15","Q25.4_16","Q25.5_1","Q25.5_2","Q25.5_3","Q25.5_4","Q25.5_5","Q25.5_6","Q25.5_7","Q25.5_8","Q25.5_9","Q25.5_10","Q25.5_11","Q25.5_12","Q25.5_13","Q25.5_14","Q25.5_15","Q25.5_16","Q25.6_1","Q25.6_2","Q25.6_3","Q25.6_4","Q25.6_5","Q25.6_6","Q25.6_7","Q25.6_8","Q25.6_9","Q25.6_10","Q25.6_11","Q25.6_12","Q25.6_13","Q25.6_14","Q25.6_15","Q25.6_16","Q25.7_1","Q25.7_2","Q25.7_3","Q25.7_4","Q25.7_5","Q25.7_6","Q25.7_7","Q25.7_8","Q25.7_9","Q25.7_10","Q25.7_11","Q25.7_12","Q25.7_13","Q25.7_14","Q25.7_15","Q25.7_16","Q25.8_1","Q25.8_2","Q25.8_3","Q25.8_4","Q25.8_5","Q25.8_6","Q25.8_7","Q25.8_8","Q25.8_9","Q25.8_10","Q25.8_11","Q25.8_12","Q25.8_13","Q25.8_14","Q25.8_15","Q25.8_16","Q17","Q25","Q26","Q18","Q19","Q20","Q21","Q22","Q23","Q24"
1581865485,1581866408,"IP Address","198.11.31.92",100,923,"True",1581866409,"R_2dfNb7wNwTVi3Kg","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AIS","An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","No","","","Freshwater","","North America","Model/Data Simulation","","","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","","","","","","","","","","","","50+","","","","","","","","","","","","1-10","stream segments are plots, watershed is site","No","","game fish habitat suitability index","","","","","","","","","","streamflow","","","","","","","","","","","","total fish biomass","","","","","","","","","","Climate","","","","","Climate","","","","","","Climate","","","","","Land use change","","","","","Land use change","","","","","","Land use change","","","","","","","","","","","","","","","","","","","","","Proxy for ES","","","","","Proxy for ES","","","","","","Proxy for ES","","","","","Mixed","","","","","Mixed","","","","","","Mixed","","","","","Mixed","","","","","Mixed","","","","","","Mixed","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","","","No feedbacks measured directly","Mentioned or discussed but not measured","",""
1582113098,1582114489,"IP Address","128.138.65.203",100,1391,"True",1582114490,"R_SMB94nDu1Rxnw89","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","No","No","","Freshwater","","North America","Model/Data Simulation,Observational (Includes data observed in situ OR via remote sensing, if used directly)","","","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","6–10 years","No","","","","","","","","","50+","","","","","","","","","","","","26+","","","","They used a watershed with 97 stream segments","No","","","","","","","","","","","","","","","","","","","","","","","","mercury residues in fish","","","","","","","","fish productivity","habitat suitability","","","","","","","Climate","","","","","Climate","","","","Climate","","","","","","","Land use change","","","","","Land use change","","","","Land use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proxy for ES","","","","","","","Didn't quantify","","","","","Didn't quantify","","","","Didn't quantify","","","","","","","-","","","","","-","","","","-","","","","","","","","","","","","","","","","","","","","Kremen Topic 2 : Community structure influencing function","","","No feedbacks measured directly","Mentioned or discussed but not measured","","Honestly, this was a bit confusing. The paper mainly focused on the benefits of the model and the details of it. "
1581867916,1581875755,"IP Address","198.11.31.92",100,7838,"True",1581875755,"R_Uszlh1FFsBKprBn","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AIS","An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","No","","","Terrestrial","","Africa","Experimental","","","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","1 year or less","No","11-50","","","","","","","","","","","","","","11-25","","","","","","","","","","3 transects (plots) per site - 12 sites","No","","","","","","","","","","","","","","","","","","","","dung decomposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Service Provider (Q17)","","","","","","","","","","","","","","","","Proxy for ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Single species  [e.g. ESPs, single species]","","No feedbacks measured directly","No","",""
1582204202,1582204985,"IP Address","128.138.65.203",100,783,"True",1582204986,"R_1jIdgURwZ6A6iOu","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","No","No","","Terrestrial","","Africa","Observational (Includes data observed in situ OR via remote sensing, if used directly)","","","No","","No","11-50","","","","","","","","","","","","1-10","","","","","","","","","","","","12 transects at 6 sites","Yes","101m² - 500m²","","","","","","","","","","","","","","","arthropod diversity and abundance","dung-decomposing beetle diversity and abundance","","","arthropod diversity and abundance","dung-decomposing beetle diversity and abundance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","","Other","","","","","","","","","","","","","","EF","","EF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mixed","","Mixed","","","","","","","","","invasive species","Kremen Topic 2 : Community structure influencing function","Across species  [e.g. community structure, diversity]","","No feedbacks measured directly","No","","Strong negative effect on overall arthropod diversity and abundance but no detectable effects on dung-decomposing beetles or the functions they provide"
1581504301,1581506011,"IP Address","128.138.65.203",100,1710,"True",1581506012,"R_vq14KzL4mX6kaml","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","No","","","Terrestrial","","North America","Model/Data Simulation","","climate projections for 2025 and 2050. In the question about how many years of data they use, I'm referring to the data they used to calibrate their model.","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","","","","","","","","","","","","0","","","","","","","","","","","","0","They used habitat patches for 14 species based on habitat maps, number of habitat patches was no more than 10,000","Yes","Unclear or not specified","habitat connectivity","habitat quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Climate","","","","","","","","","","","","","","","","Land use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EF","","","","","","","","","","","","","","","","Didn't quantify","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","","","No feedbacks measured directly","No","",""
1582276011,1582286121,"IP Address","128.138.65.133",100,10110,"True",1582286121,"R_24wVbQfeDnsEskw","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","GV","Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","No","No","","Terrestrial,Urban","","North America","Model/Data Simulation,Observational (Includes data observed in situ OR via remote sensing, if used directly)","","Distribution data from 1971-2000, simulated projections to 2025 and 2050","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","","","","","","","50+","50+","","","","","0","","","","","","","","1-10","","","","PLOT = PATCH: examined the connectivity of patches across a single landscape (site)","Yes","Unclear or not specified","habitat connectivity","habitat quality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Climate","","","","","","","","","","","","","","","","Land use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EF","","","","","","","","","","","","","","","","Mixed","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","","They looked at habitat quality and connectivity for conservation of 14 target vertebrate species. Service provider was nonexistent, but the connectivity of the landscape was a function for habitat creation/maintenance.","No feedbacks measured directly","No","Simulated/modeled multiple scenarios of climate and land use change into the future, which provided a range of potential outcomes.",""
1580903224,1581508795,"IP Address","128.138.65.91",100,605571,"True",1581508796,"R_veLNHh1Lzxv1kcN","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","JL","Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?","No","","","Terrestrial,Agricultural/Rural","","North America","Model/Data Simulation","","Modeling paper that uses a 30yr or 100yr timeframe for estimating greenhouse gas emissions, but this is different from a specific look at changes in an ES over time","No","","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","No","","","","","","","","greenhouse gas value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Management Practices","","","","","","","","","","","","","","","","Service Provider (Q17)","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 1 : ESPs","Single species  [e.g. ESPs, single species]","I decided to included ESPs as a driver because the study considers how different biofuel crops are related to the decision to land share or land spare, and thus, GHGV","No feedbacks measured directly","No","Good paper example as a case for how uncertainty is addressed in modelling papers.",""
1582715015,1582718777,"IP Address","128.138.65.166",100,3762,"True",1582718777,"R_cVdiQuvh5deX9K1","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","CK","Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?","No","No","","Terrestrial,Agricultural/Rural","","North America","Model/Data Simulation","","","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","","","","","","","","","","","","0","","","","","","","","","","","","0","","No","","","","","","","","Greenhouse Gas Value (GHGV) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Land use change,Management Practices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mixed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","","","No feedbacks measured directly","Yes","",""
1581866410,1581867910,"IP Address","198.11.31.92",100,1500,"True",1581867911,"R_T8b3xew0rVQL489","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AIS","Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas","No","","","Terrestrial,Agricultural/Rural","","Africa","Observational (Includes data observed in situ OR via remote sensing, if used directly)","","","No","","No","","","","","","","","","","","","50+","","","","11-25","","","","","","","","","14 sites each 300 m2, each site has 5 pitfall traps (plots)","No","","","","","","","","","","","","","","","","ant assemblage composition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Land use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proxy for ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kremen Topic 2 : Community structure influencing function","Across species  [e.g. community structure, diversity]","","No feedbacks measured directly","No","","almost marked ""yes"" on Q3"
1582203070,1582204160,"IP Address","128.138.65.203",100,1089,"True",1582204160,"R_3HTv5CGg1jUKNEG","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas","No","No","","Terrestrial,Agricultural/Rural","","Africa","Observational (Includes data observed in situ OR via remote sensing, if used directly)","","","No","","No","50+","","","","","","","","","","","","","","","11-25","","","","","","","","","5 random pitfall traps at each of the 14 sites","Yes","1-10 km²","","","","","","","","","","","","","","","ant species richness","functional diversity","","","","","","","","","","","","","","","","","","","","","","","","Other","","","","","","","","","","","","","","","","Land use change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EF","","","","","","","","","","","","","","","","+","","","","","","","","","","","","","","","","Mixed","","","","","","","","","","","","","","","","","","","","","","","","","Percent soil mineralized N,percent clay in soil,vegetation cover,leaflitter","","","Kremen Topic 2 : Community structure influencing function,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]","","No feedbacks measured directly","No","",""
1581504409,1581506918,"IP Address","128.138.65.112",100,2509,"True",1581506919,"R_1q9Uf3ZTvvvgngD","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AIS","Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands","No","","","Urban","","Europe","Social survey/Interview","","measures only people's perceptions of ecosystem services, does not directly measure a service","No","","No","","","","","","","","","","","","1-10","","","","","","","","","","","","1-10","surveyed residents in three urban parks (plots) in a city (site)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","human perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","No feedbacks measured directly","No","","I think this paper should have been excluded in round 1 since it does not directly measure an EF/ES or a proxy, only human perception of ES"
1581507043,1581507635,"IP Address","128.138.65.203",100,591,"True",1581507635,"R_22WbXqkXbhN02fD","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands","No","","","Terrestrial,Urban","","Europe","Social survey/Interview","","","No","","No","","","","","","","","","","","","","","","","","","","","","","","","1-10","3 urban parks in Rotterdam","No","","","","","","Relaxation","","","","","","","","","","","","","","","","","","","","","","","","","","Love of nature","Recreation, social setting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","No feedbacks measured directly","No","","This paper didn't really have ""response variables"". Instead they looked at people's perceptions of services in urban parks, so everything was qualitative/descriptive. Wasn't sure how to express this in the big table!"
1581875757,1581877303,"IP Address","198.11.31.92",100,1545,"True",1581877303,"R_72hVNdE3uC9KDa9","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AIS","Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","No","","","Terrestrial,Agricultural/Rural","","Asia","Observational (Includes data observed in situ OR via remote sensing, if used directly)","","","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","","","","","","","","","","","","0","","","","","","","","","","","","1-10","","No","","","","","","","","","","","","","","","","","","","","","","","","crop yield","","","","","","","","","","","","","","","","","","","","","Climate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","","cotton bollworm pest","Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","","","No feedbacks measured directly","No","",""
1582205085,1582206303,"IP Address","128.138.65.203",100,1217,"True",1582206303,"R_3EEdwsrEF3Odhec","","","","",40.0175933837891,-105.268699645996,"anonymous","EN","AK","Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","No","No","","Agricultural/Rural","","Asia","Experimental","","time series analysis","Yes (e.g., a site sampled multiple points in time, a model with dynamics)","10+ years","No","11-50","","","","","","","","","","","","","","","","","1-10","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","wheat biomass","","","","","","","","","","","","","","","","","","","","","Climate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Other","","","","","","","","","","","","","","","","ES","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","","Eclosion time of pest","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Single species  [e.g. ESPs, single species]","","No feedbacks measured directly","No","",""
