assess_date,newcase,doublerev,ResponseId,Init,Title,EcosystemNotes,num,Ecosystem,FirstAuthor,PublicationYear,SourcePublication
2020-04-22,FALSE,FALSE,R_9EqCanRz5Ek5Msh,IS,Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,Agroecosystem,1,Agricultural/Rural,Sabatier,2013,BASIC AND APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_9EqCanRz5Ek5Msh,IS,Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,Agroecosystem,2,Other,Sabatier,2013,BASIC AND APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,1,Terrestrial,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,2,Agricultural/Rural,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,3,Other,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_3HUOPNUqbNDRseR,IS,Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Agroforests,1,Terrestrial,Peters,2013,BIOTROPICA
2020-04-22,FALSE,FALSE,R_3HUOPNUqbNDRseR,IS,Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Agroforests,2,Other,Peters,2013,BIOTROPICA
2020-04-22,TRUE,FALSE,R_3oLPw6lzZBozJLt,KCG,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,Artificial reservoir (dam),1,Terrestrial,de Carvalho,2018,RESTORATION ECOLOGY
2020-04-22,TRUE,FALSE,R_3oLPw6lzZBozJLt,KCG,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,Artificial reservoir (dam),2,Other,de Carvalho,2018,RESTORATION ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,1,Coastal,Guan,2017,AQUATIC ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,2,Freshwater,Guan,2017,AQUATIC ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,3,Other,Guan,2017,AQUATIC ECOLOGY
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,coffee,1,Agricultural/Rural,Monagan,2017,ECOLOGY AND EVOLUTION
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,coffee,2,Other,Monagan,2017,ECOLOGY AND EVOLUTION
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,1,Terrestrial,Guerra,2014,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,2,Agricultural/Rural,Guerra,2014,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,3,Other,Guerra,2014,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_3M0en6hxEdSAAnL,SDJ,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,grassland,1,Terrestrial,Meyer,2018,NATURE ECOLOGY & EVOLUTION
2020-04-22,FALSE,FALSE,R_3M0en6hxEdSAAnL,SDJ,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,grassland,2,Other,Meyer,2018,NATURE ECOLOGY & EVOLUTION
2020-04-22,FALSE,FALSE,R_3iIjNcE7SYofj9w,SDJ,Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands,grassland,1,Terrestrial,Harlio,2019,JOURNAL FOR NATURE CONSERVATION
2020-04-22,FALSE,FALSE,R_3iIjNcE7SYofj9w,SDJ,Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands,grassland,2,Agricultural/Rural,Harlio,2019,JOURNAL FOR NATURE CONSERVATION
2020-04-22,FALSE,FALSE,R_3iIjNcE7SYofj9w,SDJ,Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands,grassland,3,Other,Harlio,2019,JOURNAL FOR NATURE CONSERVATION
2020-04-22,FALSE,FALSE,R_3rPsBHBMexNLw59,LB,Vegetation growth and sediment dynamics in a created freshwater wetland,greenhouse,1,Other,Saaltink,2018,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,FALSE,R_3rG5HBE5jOKUPLY,SDJ,Green roof plant species diversity improves ecosystem multifunctionality,greenroof,1,Urban,Lundholm,2015,JOURNAL OF APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_3rG5HBE5jOKUPLY,SDJ,Green roof plant species diversity improves ecosystem multifunctionality,greenroof,2,Other,Lundholm,2015,JOURNAL OF APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_2fxRDXaFoLn1PsM,SDJ,Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index,"its not really based in an ecosystem, its human communities",1,Urban,Jones,2017,ECOLOGICAL ECONOMICS
2020-04-22,FALSE,FALSE,R_2fxRDXaFoLn1PsM,SDJ,Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index,"its not really based in an ecosystem, its human communities",2,Other,Jones,2017,ECOLOGICAL ECONOMICS
2020-04-22,FALSE,FALSE,R_3Hhq96iUGg1wN7R,NBD,The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Laboratory,1,Other,Banitz,2012,MICROBIAL ECOLOGY
2020-04-22,FALSE,FALSE,R_4T17wWafN6Kg0gN,SDJ,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Lake,1,Freshwater,Angeler,2017,ECOLOGY AND SOCIETY
2020-04-22,FALSE,FALSE,R_4T17wWafN6Kg0gN,SDJ,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Lake,2,Other,Angeler,2017,ECOLOGY AND SOCIETY
2020-04-22,FALSE,FALSE,R_3rHzypBwpvVvybG,IS,Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,microcosm,1,Other,DeLong,2019,AMERICAN NATURALIST
2020-04-22,TRUE,FALSE,R_3UcyoDB7VaosvbH,SDJ,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,moorlands,1,Terrestrial,Robertson,2017,WILDLIFE BIOLOGY
2020-04-22,TRUE,FALSE,R_3UcyoDB7VaosvbH,SDJ,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,moorlands,2,Other,Robertson,2017,WILDLIFE BIOLOGY
2020-04-22,FALSE,FALSE,R_1l4VjluaNuGUNh6,SDJ,Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes,natural forest and agricultural,1,Terrestrial,Lenz,2011,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
2020-04-22,FALSE,FALSE,R_1l4VjluaNuGUNh6,SDJ,Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes,natural forest and agricultural,2,Agricultural/Rural,Lenz,2011,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
2020-04-22,FALSE,FALSE,R_1l4VjluaNuGUNh6,SDJ,Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes,natural forest and agricultural,3,Other,Lenz,2011,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
2020-04-22,FALSE,FALSE,R_3esPgdspKhK6aom,LB,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,peri-urban,1,Terrestrial,Dennis,2017,LANDSCAPE AND URBAN PLANNING
2020-04-22,FALSE,FALSE,R_3esPgdspKhK6aom,LB,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,peri-urban,2,Urban,Dennis,2017,LANDSCAPE AND URBAN PLANNING
2020-04-22,FALSE,FALSE,R_3esPgdspKhK6aom,LB,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,peri-urban,3,Agricultural/Rural,Dennis,2017,LANDSCAPE AND URBAN PLANNING
2020-04-22,FALSE,FALSE,R_3esPgdspKhK6aom,LB,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,peri-urban,4,Other,Dennis,2017,LANDSCAPE AND URBAN PLANNING
2020-04-22,FALSE,FALSE,R_1jC9B6WLP5Fmbar,LB,"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",peri-urban,1,Terrestrial,Paudyal,2019,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_1jC9B6WLP5Fmbar,LB,"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",peri-urban,2,Urban,Paudyal,2019,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_1jC9B6WLP5Fmbar,LB,"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",peri-urban,3,Agricultural/Rural,Paudyal,2019,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_1jC9B6WLP5Fmbar,LB,"Spatial assessment of the impact of land use and land cover change on supply of ecosystem services in Phewa watershed, Nepal",peri-urban,4,Other,Paudyal,2019,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_scxMja3EHUsEyYx,LB,Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,peri-urban,1,Terrestrial,Brunori,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_scxMja3EHUsEyYx,LB,Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,peri-urban,2,Agricultural/Rural,Brunori,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_scxMja3EHUsEyYx,LB,Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem,peri-urban,3,Other,Brunori,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,TRUE,R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Riparian zone,1,Terrestrial,Hefting,2013,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,TRUE,R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Riparian zone,2,Other,Hefting,2013,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,FALSE,R_1lgYZP51UsQNRdq,JL,Performance of salmon fishery portfolios across western North America,"salmon habitat, appears to be river systems, but have fisheries expert confirm freshwater selection",1,Freshwater,Griffiths,2014,JOURNAL OF APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_1lgYZP51UsQNRdq,JL,Performance of salmon fishery portfolios across western North America,"salmon habitat, appears to be river systems, but have fisheries expert confirm freshwater selection",2,Other,Griffiths,2014,JOURNAL OF APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_1qV3JvuSWim2iuY,IS,Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh,salt marsh,1,Coastal,Wang,2009,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,FALSE,R_1qV3JvuSWim2iuY,IS,Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh,salt marsh,2,Other,Wang,2009,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,FALSE,R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Simulated terrestrial,1,Terrestrial,Bianchi,2010,ECOLOGICAL APPLICATIONS
2020-04-22,FALSE,FALSE,R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Simulated terrestrial,2,Other,Bianchi,2010,ECOLOGICAL APPLICATIONS
2020-04-22,FALSE,FALSE,R_2SHXlFRl1HFN1e0,JL,Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Simulation of urban environments in a rural experimental setting,1,Terrestrial,Byrne,2008,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_2SHXlFRl1HFN1e0,JL,Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Simulation of urban environments in a rural experimental setting,2,Other,Byrne,2008,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","specifically, streamflow within a watershed",1,Terrestrial,Mwangi,2015,JOURNAL OF SOIL AND WATER CONSERVATION
2020-04-22,FALSE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","specifically, streamflow within a watershed",2,Freshwater,Mwangi,2015,JOURNAL OF SOIL AND WATER CONSERVATION
2020-04-22,FALSE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","specifically, streamflow within a watershed",3,Other,Mwangi,2015,JOURNAL OF SOIL AND WATER CONSERVATION
2020-04-22,FALSE,FALSE,R_2YtYQ36LbvkHsoP,AIS,Context-dependent effects of freshwater mussels on stream benthic communities,stream benthic community,1,Freshwater,Spooner,2006,FRESHWATER BIOLOGY
2020-04-22,FALSE,FALSE,R_2YtYQ36LbvkHsoP,AIS,Context-dependent effects of freshwater mussels on stream benthic communities,stream benthic community,2,Other,Spooner,2006,FRESHWATER BIOLOGY
2020-04-22,FALSE,FALSE,R_1ffTHyis8NbyFIo,JL,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),terrestrial-riparian (water basin),1,Terrestrial,Elisa Diaz,2018,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_1ffTHyis8NbyFIo,JL,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),terrestrial-riparian (water basin),2,Other,Elisa Diaz,2018,ECOSYSTEM SERVICES
2020-04-22,FALSE,FALSE,R_2UWr10MI8FD9y2i,AIS,"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",tidal salt marsh,1,Terrestrial,Noll,2019,ECOLOGICAL RESTORATION
2020-04-22,FALSE,FALSE,R_2UWr10MI8FD9y2i,AIS,"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",tidal salt marsh,2,Coastal,Noll,2019,ECOLOGICAL RESTORATION
2020-04-22,FALSE,FALSE,R_2UWr10MI8FD9y2i,AIS,"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",tidal salt marsh,3,Other,Noll,2019,ECOLOGICAL RESTORATION
2020-04-22,FALSE,FALSE,R_1nYKu5l6LVxgmgt,LD,"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications",Wetland,1,Terrestrial,Jiang,2016,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,FALSE,R_1nYKu5l6LVxgmgt,LD,"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications",Wetland,2,Other,Jiang,2016,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,TRUE,R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Wetland,1,Freshwater,Hefting,2013,ECOLOGICAL ENGINEERING
2020-04-22,FALSE,TRUE,R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Wetland,2,Other,Hefting,2013,ECOLOGICAL ENGINEERING
