ResponseId,Init,Title,id,sameanswer,answer,clean_answer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder,,,,,,
R_C7kgqKX006aV1Cx,GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.6_6,FALSE,Mixed,Mixed,Mixed,,"Q12: Which Ecosystem Services were considered? - Direction of Environmental Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,Env,,Q12,freshWQReg,160,,AK,GV,2,,,,,,
R_1inzjZZX9lualBg,AK,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.6_7,FALSE,+,+,+,,"Q12: Which Ecosystem Services were considered? - Direction of Environmental Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",EffectDirect,Env,,Q12,coastWQReg,161,,AK,GV,1,,,,,,
R_C7kgqKX006aV1Cx,GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.6_7,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Direction of Environmental Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",EffectDirect,Env,,Q12,coastWQReg,161,,AK,GV,2,,,,,,
R_1inzjZZX9lualBg,AK,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.7_6,FALSE,+,+,,,"Q12: Which Ecosystem Services were considered? - Direction of Human Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,Anthro,,Q12,freshWQReg,176,,AK,GV,1,,,,,,
R_C7kgqKX006aV1Cx,GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.7_6,FALSE,Mixed,Mixed,Mixed,,"Q12: Which Ecosystem Services were considered? - Direction of Human Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",EffectDirect,Anthro,,Q12,freshWQReg,176,,AK,GV,2,,,,,,
R_1inzjZZX9lualBg,AK,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.7_7,FALSE,+,+,+,,"Q12: Which Ecosystem Services were considered? - Direction of Human Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",EffectDirect,Anthro,,Q12,coastWQReg,177,,AK,GV,1,,,,,,
R_C7kgqKX006aV1Cx,GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q25.7_7,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Direction of Human Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",EffectDirect,Anthro,,Q12,coastWQReg,177,,AK,GV,2,,,,,,
R_1inzjZZX9lualBg,AK,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q17,FALSE,MISSING,MISSING,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,freshWQReg,203,Other' checked for driver variable but no Other Driver provided; Infilled ES from Driver where 'Other' specified,AK,GV,1,,,,,,
R_C7kgqKX006aV1Cx,GV,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Q17,FALSE,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q14,FALSE,No,No,,,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?",Connect,,,Q10,,57,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q14,FALSE,Yes,Yes,Yes,,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?",Connect,,,Q10,,57,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q13,FALSE,,,,,Q11: What is the distance between replicates?,ConnectDist,,,Q11,,58,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q13,FALSE,Unclear or not specified,Unclear or not specified,Unclear or not specified,,Q11: What is the distance between replicates?,ConnectDist,,,Q11,,58,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_10_1,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_10_1,FALSE,Pest population,Pest population,Pest population,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_10_2,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2",Response,,,Q12,PestPath,78,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_10_2,FALSE,Predator population,Predator population,Predator population,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2",Response,,,Q12,PestPath,78,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_12_1,FALSE,pest load,pest load,,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.1_12_1,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Write in the response variable used to approx. ES, or EF proxy - Food and feed - Response 1: Separate by commas",Response,,,Q12,Food,81,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.2_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Environmental Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Env,,Q12,PestPath,100,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.2_10,FALSE,Other,Other,Other,,"Q12: Which Ecosystem Services were considered? - Environmental Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Env,Env,Q12,PestPath,100,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.4_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,,Q12,PestPath,132,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.4_10,FALSE,"Service Provider (Q17),Other",Other,Other,,"Q12: Which Ecosystem Services were considered? - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,AK,GV,2,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.4_10,FALSE,"Service Provider (Q17),Other",Service Provider (Q17),Service Provider (Q17),,"Q12: Which Ecosystem Services were considered? - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.4_12,FALSE,Service Provider (Q17),Service Provider (Q17),,,Q12: Which Ecosystem Services were considered? - Biotic Driver - Food and feed,Driver,Bio,Bio,Q12,Food,134,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.4_12,FALSE,,,,,Q12: Which Ecosystem Services were considered? - Biotic Driver - Food and feed,Driver,Bio,,Q12,Food,134,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.5_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.5_10,FALSE,"ES,EF","ES,EF",Proxy for ES,,"Q12: Which Ecosystem Services were considered? - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.5_12,FALSE,Proxy for ES,Proxy for ES,,,Q12: Which Ecosystem Services were considered? - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.5_12,FALSE,,,,,Q12: Which Ecosystem Services were considered? - Paper reported Response 1 as: - Food and feed,Yclass,,,Q12,Food,150,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.6_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered? - Direction of Environmental Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Env,,Q12,PestPath,164,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.6_10,FALSE,Mixed,Mixed,Mixed,,"Q12: Which Ecosystem Services were considered? - Direction of Environmental Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Env,,Q12,PestPath,164,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.8_12,FALSE,Mixed,Mixed,,,Q12: Which Ecosystem Services were considered? - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q25.8_12,FALSE,,,,,Q12: Which Ecosystem Services were considered? - Direction of Biotic Driver Relationship - Food and feed,EffectDirect,Bio,,Q12,Food,198,,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q17,FALSE,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q17,FALSE,Spatial arrangement of landscape,Spatial arrangement of landscape,Spatial arrangement of landscape,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,PestPath,203,Infilled ES from Driver where 'Other' specified,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q26,FALSE,,,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,,Q12,,205,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q26,FALSE,Predator dispersal distance,Predator dispersal distance,Predator dispersal distance,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,PestPath,205,Infilled ES from Driver where 'Other' specified,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q18,FALSE,Kremen Topic 1 : ESPs,"Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale","Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Added KT3 based on environmental driver and no KT3 checked,AK,GV,2,,,,,,
R_oZxMjYyc0edudl7,AK,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]",,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,AK,GV,1,,,,,,
R_6AvqPLCroIlK3Hr,GV,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,Q19,FALSE,"Single species [e.g. ESPs, single species]","Single species [e.g. ESPs, single species]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,AK,GV,2,,,,,,